model_id,prompt_mode,items,item_accuracy,expected_operator_call_rate,unexpected_operator_call_rate,mixed_operator_call_rate,accuracy_when_unexpected,accuracy_when_clean,error_share_with_unexpected
qwen25_math7b,bellman,360,0.5361111111111111,0.34444444444444444,0.10833333333333334,0.008333333333333333,0.23076923076923078,0.573208722741433,0.17964071856287425
qwen25_math7b,cot,360,0.625,0.04722222222222222,0.0,0.0,,0.625,0.0
qwen25_math7b,direct,360,0.5,0.0,0.0,0.0,,0.5,0.0
qwen25_math7b,local_operator,360,0.5861111111111111,0.16666666666666666,0.0,0.0,,0.5861111111111111,0.0
qwen25_math7b,positive_operator,360,0.6166666666666667,0.05,0.0,0.0,,0.6166666666666667,0.0
qwen35_4b,bellman,360,0.9472222222222222,0.7222222222222222,0.03333333333333333,0.005555555555555556,0.16666666666666666,0.9741379310344828,0.5263157894736842
qwen35_4b,cot,360,0.9527777777777777,0.8972222222222223,0.013888888888888888,0.011111111111111112,0.2,0.9633802816901409,0.23529411764705882
qwen35_4b,direct,360,0.8305555555555556,0.0,0.0,0.0,,0.8305555555555556,0.0
qwen35_4b,local_operator,360,0.9472222222222222,0.9166666666666666,0.0,0.0,,0.9472222222222222,0.0
qwen35_4b,positive_operator,360,0.9444444444444444,0.9333333333333333,0.0,0.0,,0.9444444444444444,0.0
qwen35_9b,bellman,360,0.8944444444444445,0.5722222222222222,0.1111111111111111,0.05555555555555555,0.45,0.95,0.5789473684210527
qwen35_9b,cot,360,0.9861111111111112,0.14444444444444443,0.0,0.0,,0.9861111111111112,0.0
qwen35_9b,direct,360,0.5416666666666666,0.0,0.0,0.0,,0.5416666666666666,0.0
qwen35_9b,local_operator,360,0.9138888888888889,0.9416666666666667,0.0,0.0,,0.9138888888888889,0.0
qwen35_9b,positive_operator,360,0.925,0.9583333333333334,0.0,0.0,,0.925,0.0
qwen3_8b,bellman,360,0.8833333333333333,0.8666666666666667,0.019444444444444445,0.013888888888888888,0.5714285714285714,0.8895184135977338,0.07142857142857142
qwen3_8b,cot,360,0.8055555555555556,0.16666666666666666,0.0,0.0,,0.8055555555555556,0.0
qwen3_8b,direct,360,0.6916666666666667,0.0,0.0,0.0,,0.6916666666666667,0.0
qwen3_8b,local_operator,360,0.8888888888888888,0.9222222222222223,0.0,0.0,,0.8888888888888888,0.0
qwen3_8b,positive_operator,360,0.8722222222222222,0.6333333333333333,0.0,0.0,,0.8722222222222222,0.0
