model_id,prompt_mode,pair_id,pair_correct,self_correct,opponent_correct,flipped,same_action,both_parsed,error_type,domain,difficulty,self_prediction,opponent_prediction,safe_action,branching_action
qwen25_math7b,bellman,cf_0000,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,abstract_game,1,TIDAL,VELVET,TIDAL,VELVET
qwen25_math7b,bellman,cf_0001,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,cyber_defense,1,KITE,SUMMIT,SUMMIT,KITE
qwen25_math7b,bellman,cf_0002,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,tool_agent,1,SUMMIT,WILLOW,WILLOW,SUMMIT
qwen25_math7b,bellman,cf_0003,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,logistics,1,EMBER,VELVET,VELVET,EMBER
qwen25_math7b,bellman,cf_0004,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,exploration,1,VELVET,RAVEN,RAVEN,VELVET
qwen25_math7b,bellman,cf_0005,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,resource_game,1,ORBIT,ORBIT,CIPHER,ORBIT
qwen25_math7b,bellman,cf_0006,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,2,LANTERN,LANTERN,ZENITH,LANTERN
qwen25_math7b,bellman,cf_0007,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,cyber_defense,2,SUMMIT,EMBER,EMBER,SUMMIT
qwen25_math7b,bellman,cf_0008,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,tool_agent,2,WILLOW,WILLOW,KITE,WILLOW
qwen25_math7b,bellman,cf_0009,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,logistics,2,TIDAL,TIDAL,ORBIT,TIDAL
qwen25_math7b,bellman,cf_0010,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,exploration,2,CIPHER,WILLOW,CIPHER,WILLOW
qwen25_math7b,bellman,cf_0011,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,resource_game,2,ORBIT,QUARTZ,QUARTZ,ORBIT
qwen25_math7b,bellman,cf_0012,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,3,VELVET,VELVET,ORBIT,VELVET
qwen25_math7b,bellman,cf_0013,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,cyber_defense,3,VELVET,VELVET,QUARTZ,VELVET
qwen25_math7b,bellman,cf_0014,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,tool_agent,3,ZENITH,ZENITH,EMBER,ZENITH
qwen25_math7b,bellman,cf_0015,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,logistics,3,WILLOW,WILLOW,LANTERN,WILLOW
qwen25_math7b,bellman,cf_0016,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,exploration,3,ZENITH,VELVET,ZENITH,VELVET
qwen25_math7b,bellman,cf_0017,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,resource_game,3,QUARTZ,QUARTZ,ZENITH,QUARTZ
qwen25_math7b,bellman,cf_0018,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,abstract_game,1,VELVET,RAVEN,RAVEN,VELVET
qwen25_math7b,bellman,cf_0019,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,cyber_defense,1,TIDAL,SUMMIT,SUMMIT,TIDAL
qwen25_math7b,bellman,cf_0020,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,tool_agent,1,ZENITH,ZENITH,ZENITH,QUARTZ
qwen25_math7b,bellman,cf_0021,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,logistics,1,ZENITH,ZENITH,ZENITH,ORBIT
qwen25_math7b,bellman,cf_0022,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,exploration,1,ZENITH,ZENITH,RAVEN,ZENITH
qwen25_math7b,bellman,cf_0023,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,resource_game,1,KITE,KITE,KITE,SUMMIT
qwen25_math7b,bellman,cf_0024,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,2,WILLOW,WILLOW,QUARTZ,WILLOW
qwen25_math7b,bellman,cf_0025,0.0,0.0,1.0,0.0,1.0,1.0,safe_both,cyber_defense,2,ORBIT,ORBIT,ORBIT,VELVET
qwen25_math7b,bellman,cf_0026,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,tool_agent,2,LANTERN,ORBIT,ORBIT,LANTERN
qwen25_math7b,bellman,cf_0027,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,logistics,2,CIPHER,CIPHER,EMBER,CIPHER
qwen25_math7b,bellman,cf_0028,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,exploration,2,EMBER,EMBER,ORBIT,EMBER
qwen25_math7b,bellman,cf_0029,0.0,0.0,0.0,1.0,0.0,1.0,reversed_flip,resource_game,2,VELVET,EMBER,VELVET,EMBER
qwen25_math7b,bellman,cf_0030,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,abstract_game,3,ZENITH,ZENITH,TIDAL,ZENITH
qwen25_math7b,bellman,cf_0031,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,cyber_defense,3,WILLOW,WILLOW,LANTERN,WILLOW
qwen25_math7b,bellman,cf_0032,1.0,1.0,1.0,1.0,0.0,1.0,correct_flip,tool_agent,3,ORBIT,QUARTZ,QUARTZ,ORBIT
qwen25_math7b,bellman,cf_0033,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,logistics,3,EMBER,EMBER,KITE,EMBER
qwen25_math7b,bellman,cf_0034,0.0,1.0,0.0,0.0,1.0,1.0,branching_both,exploration,3,VELVET,VELVET,KITE,VELVET
