model_id,prompt_mode,direct_pair_accuracy,scaffold_pair_accuracy,absolute_gain,remaining_gap_closed
qwen25_math7b,cot,0.011111111111111112,0.3,0.28888888888888886,0.2921348314606741
qwen25_math7b,bellman,0.011111111111111112,0.2388888888888889,0.2277777777777778,0.2303370786516854
qwen25_math7b,local_operator,0.011111111111111112,0.2388888888888889,0.2277777777777778,0.2303370786516854
qwen25_math7b,positive_operator,0.011111111111111112,0.29444444444444445,0.2833333333333333,0.28651685393258425
qwen35_4b,cot,0.6611111111111111,0.9055555555555556,0.24444444444444446,0.7213114754098361
qwen35_4b,bellman,0.6611111111111111,0.8944444444444445,0.2333333333333334,0.6885245901639345
qwen35_4b,local_operator,0.6611111111111111,0.8944444444444445,0.2333333333333334,0.6885245901639345
qwen35_4b,positive_operator,0.6611111111111111,0.8888888888888888,0.22777777777777775,0.6721311475409835
qwen35_9b,cot,0.09444444444444444,0.9722222222222222,0.8777777777777778,0.9693251533742331
qwen35_9b,bellman,0.09444444444444444,0.7888888888888889,0.6944444444444444,0.7668711656441718
qwen35_9b,local_operator,0.09444444444444444,0.8277777777777777,0.7333333333333333,0.8098159509202454
qwen35_9b,positive_operator,0.09444444444444444,0.85,0.7555555555555555,0.8343558282208589
qwen3_8b,cot,0.38333333333333336,0.6388888888888888,0.2555555555555555,0.4144144144144143
qwen3_8b,bellman,0.38333333333333336,0.7666666666666667,0.38333333333333336,0.6216216216216216
qwen3_8b,local_operator,0.38333333333333336,0.7777777777777778,0.39444444444444443,0.6396396396396395
qwen3_8b,positive_operator,0.38333333333333336,0.75,0.36666666666666664,0.5945945945945945
