model_id,prompt_mode,domain,pairs,pair_accuracy,self_accuracy,opponent_accuracy,flip_rate,same_action_rate
qwen25_math7b,bellman,abstract_game,30,0.13333333333333333,0.8333333333333334,0.2,0.23333333333333334,0.7666666666666667
qwen25_math7b,bellman,cyber_defense,30,0.36666666666666664,0.6333333333333333,0.5333333333333333,0.5666666666666667,0.43333333333333335
qwen25_math7b,bellman,exploration,30,0.3333333333333333,0.7333333333333333,0.4666666666666667,0.4666666666666667,0.5333333333333333
qwen25_math7b,bellman,logistics,30,0.16666666666666666,0.7,0.3333333333333333,0.3,0.7
qwen25_math7b,bellman,resource_game,30,0.23333333333333334,0.6,0.3333333333333333,0.5333333333333333,0.4666666666666667
qwen25_math7b,bellman,tool_agent,30,0.2,0.7666666666666667,0.3,0.3333333333333333,0.6666666666666666
qwen25_math7b,cot,abstract_game,30,0.36666666666666664,0.8,0.5,0.43333333333333335,0.5666666666666667
qwen25_math7b,cot,cyber_defense,30,0.26666666666666666,0.9,0.3333333333333333,0.3,0.7
qwen25_math7b,cot,exploration,30,0.3333333333333333,0.8666666666666667,0.4,0.4,0.6
qwen25_math7b,cot,logistics,30,0.26666666666666666,0.8666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666
qwen25_math7b,cot,resource_game,30,0.3,0.9,0.36666666666666664,0.3333333333333333,0.6666666666666666
qwen25_math7b,cot,tool_agent,30,0.26666666666666666,0.9333333333333333,0.3,0.3,0.6666666666666666
qwen25_math7b,direct,abstract_game,30,0.06666666666666667,0.06666666666666667,0.9666666666666667,0.06666666666666667,0.8666666666666667
qwen25_math7b,direct,cyber_defense,30,0.0,0.0,1.0,0.0,1.0
qwen25_math7b,direct,exploration,30,0.0,0.0,1.0,0.0,1.0
qwen25_math7b,direct,logistics,30,0.0,0.0,0.9666666666666667,0.03333333333333333,0.9666666666666667
qwen25_math7b,direct,resource_game,30,0.0,0.0,1.0,0.0,1.0
qwen25_math7b,direct,tool_agent,30,0.0,0.0,1.0,0.0,1.0
qwen25_math7b,local_operator,abstract_game,30,0.3333333333333333,0.7666666666666667,0.5,0.4,0.6
qwen25_math7b,local_operator,cyber_defense,30,0.2,0.8666666666666667,0.26666666666666666,0.26666666666666666,0.7333333333333333
qwen25_math7b,local_operator,exploration,30,0.16666666666666666,0.9333333333333333,0.2,0.2,0.8
