domain,wrapper,generator,corrector,n,accuracy
gsm8k,external_neutral,qwen25_3b,qwen25_3b,60,0.13333333333333333
gsm8k,external_neutral,qwen25_3b,qwen25_7b,60,0.25
gsm8k,external_neutral,qwen25_3b,qwen3_4b,60,0.48333333333333334
gsm8k,external_neutral,qwen25_3b,qwen3_8b,60,0.43333333333333335
gsm8k,external_neutral,qwen25_7b,qwen25_3b,60,0.11666666666666667
gsm8k,external_neutral,qwen25_7b,qwen25_7b,60,0.18333333333333332
gsm8k,external_neutral,qwen25_7b,qwen3_4b,60,0.38333333333333336
gsm8k,external_neutral,qwen25_7b,qwen3_8b,60,0.4
gsm8k,external_neutral,qwen3_4b,qwen25_3b,60,0.18333333333333332
gsm8k,external_neutral,qwen3_4b,qwen25_7b,60,0.3
gsm8k,external_neutral,qwen3_4b,qwen3_4b,60,0.23333333333333334
gsm8k,external_neutral,qwen3_4b,qwen3_8b,60,0.23333333333333334
gsm8k,external_neutral,qwen3_8b,qwen25_3b,60,0.13333333333333333
gsm8k,external_neutral,qwen3_8b,qwen25_7b,60,0.2833333333333333
gsm8k,external_neutral,qwen3_8b,qwen3_4b,60,0.16666666666666666
gsm8k,external_neutral,qwen3_8b,qwen3_8b,60,0.11666666666666667
gsm8k,assistant_history,qwen25_3b,qwen25_3b,60,0.08333333333333333
gsm8k,assistant_history,qwen25_3b,qwen25_7b,60,0.25
gsm8k,assistant_history,qwen25_3b,qwen3_4b,60,0.2833333333333333
gsm8k,assistant_history,qwen25_3b,qwen3_8b,60,0.3333333333333333
gsm8k,assistant_history,qwen25_7b,qwen25_3b,60,0.08333333333333333
gsm8k,assistant_history,qwen25_7b,qwen25_7b,60,0.15
gsm8k,assistant_history,qwen25_7b,qwen3_4b,60,0.2833333333333333
gsm8k,assistant_history,qwen25_7b,qwen3_8b,60,0.4
gsm8k,assistant_history,qwen3_4b,qwen25_3b,60,0.13333333333333333
gsm8k,assistant_history,qwen3_4b,qwen25_7b,60,0.2833333333333333
gsm8k,assistant_history,qwen3_4b,qwen3_4b,60,0.1
gsm8k,assistant_history,qwen3_4b,qwen3_8b,60,0.26666666666666666
gsm8k,assistant_history,qwen3_8b,qwen25_3b,60,0.15
gsm8k,assistant_history,qwen3_8b,qwen25_7b,60,0.23333333333333334
gsm8k,assistant_history,qwen3_8b,qwen3_4b,60,0.05
gsm8k,assistant_history,qwen3_8b,qwen3_8b,60,0.1
math500,external_neutral,qwen25_3b,qwen25_3b,60,0.05
math500,external_neutral,qwen25_3b,qwen25_7b,60,0.16666666666666666
math500,external_neutral,qwen25_3b,qwen3_4b,60,0.25
math500,external_neutral,qwen25_3b,qwen3_8b,60,0.18333333333333332
math500,external_neutral,qwen25_7b,qwen25_3b,60,0.11666666666666667
math500,external_neutral,qwen25_7b,qwen25_7b,60,0.08333333333333333
math500,external_neutral,qwen25_7b,qwen3_4b,60,0.18333333333333332
math500,external_neutral,qwen25_7b,qwen3_8b,60,0.16666666666666666
math500,external_neutral,qwen3_4b,qwen25_3b,60,0.11666666666666667
math500,external_neutral,qwen3_4b,qwen25_7b,60,0.18333333333333332
math500,external_neutral,qwen3_4b,qwen3_4b,60,0.08333333333333333
math500,external_neutral,qwen3_4b,qwen3_8b,60,0.11666666666666667
math500,external_neutral,qwen3_8b,qwen25_3b,60,0.08333333333333333
math500,external_neutral,qwen3_8b,qwen25_7b,60,0.16666666666666666
math500,external_neutral,qwen3_8b,qwen3_4b,60,0.11666666666666667
math500,external_neutral,qwen3_8b,qwen3_8b,60,0.1
math500,assistant_history,qwen25_3b,qwen25_3b,60,0.08333333333333333
math500,assistant_history,qwen25_3b,qwen25_7b,60,0.13333333333333333
math500,assistant_history,qwen25_3b,qwen3_4b,60,0.26666666666666666
math500,assistant_history,qwen25_3b,qwen3_8b,60,0.13333333333333333
math500,assistant_history,qwen25_7b,qwen25_3b,60,0.05
math500,assistant_history,qwen25_7b,qwen25_7b,60,0.05
math500,assistant_history,qwen25_7b,qwen3_4b,60,0.13333333333333333
math500,assistant_history,qwen25_7b,qwen3_8b,60,0.16666666666666666
math500,assistant_history,qwen3_4b,qwen25_3b,60,0.1
math500,assistant_history,qwen3_4b,qwen25_7b,60,0.15
math500,assistant_history,qwen3_4b,qwen3_4b,60,0.05
math500,assistant_history,qwen3_4b,qwen3_8b,60,0.05
math500,assistant_history,qwen3_8b,qwen25_3b,60,0.03333333333333333
math500,assistant_history,qwen3_8b,qwen25_7b,60,0.18333333333333332
math500,assistant_history,qwen3_8b,qwen3_4b,60,0.05
math500,assistant_history,qwen3_8b,qwen3_8b,60,0.016666666666666666
