dataset,regime,problem_id,route_pairs,h1_effect,h2_effect,h3_success_difference,h3_margin_gap
gsm8k,near_early,084577c45ab813d1fa5aa0a04257f7dd500557be9e06410a674e3935022f0067,36,,0.22222222222222224,1.0,0.9375
gsm8k,near_early,0270a167830c18419ddee1b968f27067a5eb9ef1dacff873ddb1e16c3d017478,36,0.5,0.0666666666666667,1.0,1.875
gsm8k,near_early,081f7a29a59c9ed3ebebd91b1a88384f1280b328ad6be68670f93695ad0c1b0a,36,,,0.0,0.375
gsm8k,near_early,0c0f15cc9083b3f8608ea984d66aa47df39de10a153296bbf8049d091c65d55a,36,-0.3333333333333333,0.0,-1.0,-0.375
gsm8k,near_early,01bfcc0e852a1d29fd4744b97b83fbd3cae6720ba66dde58a9282f0b6a096abf,36,0.08333333333333336,0.388888888888889,0.0,0.3125
gsm8k,near_early,09ee1c457c38650ad6084fc98bea7cf53ca98ba298500a9f3a5453d683000ceb,36,0.0,0.04166666666666668,0.0,0.0
gsm8k,near_early,0e15d21591acf91047c42bb7c8157aba2ff3743e5f08e228f4f850ee51848dbc,36,,-0.018518518518518514,0.0,0.3125
gsm8k,near_early,053f59b0619cf6f928214a946f513b6d7f51516c53fb4c533578d2ec40c9a18d,36,0.16666666666666669,0.4,0.0,0.5
gsm8k,near_early,12ba917704bbc51c6e7a1aba39a2fff82e82ec12941d6fec5d3010131320b746,36,,0.0,0.0,0.375
gsm8k,near_early,0ddccee16a7a50c5d4c8af9836029befc5c6e385c256a3089399b7bdeeb04a2a,36,0.0,-0.1111111111111111,0.0,0.875
gsm8k,near_early,060edd899f95d83128cf6cce2fa88efef880218af000684c6ba710fff535034e,36,,-0.04444444444444443,0.0,0.0
gsm8k,near_early,035f5831e174711adc99caee27750f2356b4e6909f13d63f7fba156f98d4ee2f,36,,-0.03333333333333332,0.0,0.1875
gsm8k,near_early,080675833c6d9ea281fa95c98ad19b53520b9f325e7fb22166adc5a022fe30d3,36,0.3333333333333333,0.1944444444444445,0.0,-0.125
gsm8k,near_early,100d7f43fdf5ead90d91c008ff476d016d2159d3877d4a98e664df4bb92ca70f,36,,-0.1111111111111111,0.0,0.0
gsm8k,near_early,127f18ac7549aa1eafe5e013d62920ab85613553af4804968f9540b125a41a24,36,,-0.10185185185185185,0.0,0.125
gsm8k,near_early,061501956468e82c77012647889111bf1af73b2f143f180a6e35fa567c1df02d,36,,,0.0,0.125
gsm8k,near_early,135430c89fe3361e0ba10a378cac8e8330a7ee51a2bee358d3c90d6c771fb20c,36,,,1.0,1.625
gsm8k,near_early,0daf43cfc24208b108709a8f708bbc875ea8cc549e4a73773f4eb8d2fb8fdb0c,36,0.08333333333333337,,0.0,0.125
gsm8k,near_early,05a3459f56466e97c0912a2b3c3bee5af75144a87235b5925b05efd4e743e773,36,,0.10000000000000002,0.0,0.25
gsm8k,near_early,0c68e6790fdc82122a6bd073e5445c7d18884f0d52e244b36e2e414d4bafc243,36,,,0.0,0.75
gsm8k,near_early,0a2730fdc05ef2edb6c988513ccfaa1db0792771f0fc93fb25e365f11a44f2d6,36,,-0.013888888888888886,0.0,0.0
