trajectory,condition,route_i,route_j,margin,delta_from_standard,full_suffix_max_abs_error,deterministic_max_abs_error,elapsed_seconds
0,standard,standard,standard,3.5,0.0,0.0,0.0,0.13735031697433442
0,single_j_a0,standard,a0,3.0,-0.5,0.0,0.0,0.1411057969671674
0,single_j_a1,standard,a1,2.875,-0.625,0.0,0.0,0.13577751105185598
0,single_i_a0,a0,standard,3.5,0.0,0.0,0.0,0.13991664297645912
0,joint_a0_a0,a0,a0,2.0,-1.5,0.0,0.0,0.1356798150227405
0,joint_a0_a1,a0,a1,3.5625,0.0625,0.0,0.0,0.1393406959832646
0,single_i_a1,a1,standard,3.0625,-0.4375,0.0,0.0,0.13713235303293914
0,joint_a1_a0,a1,a0,2.0625,-1.4375,0.0,0.0,0.14048855798318982
0,joint_a1_a1,a1,a1,1.3125,-2.1875,0.0,0.0,0.13839441601885483
1,standard,standard,standard,0.6875,0.0,0.0,0.0,0.12901030102511868
1,single_j_a0,standard,a0,-2.6875,-3.375,0.0,0.0,0.1339805630268529
1,single_j_a1,standard,a1,0.6875,0.0,0.0,0.0,0.13332595699466765
1,single_i_a0,a0,standard,3.125,2.4375,0.0,0.0,0.13561047601979226
1,joint_a0_a0,a0,a0,-3.6875,-4.375,0.0,0.0,0.13369033305207267
1,joint_a0_a1,a0,a1,4.375,3.6875,0.0,0.0,0.13717386696953326
1,single_i_a1,a1,standard,2.75,2.0625,0.0,0.0,0.13323934999061748
1,joint_a1_a0,a1,a0,-4.5,-5.1875,0.0,0.0,0.13646579097257927
1,joint_a1_a1,a1,a1,4.5625,3.875,0.0,0.0,0.13330587901873514
2,standard,standard,standard,3.125,0.0,0.0,0.0,0.13595558097586036
2,single_j_a0,standard,a0,3.1875,0.0625,0.0,0.0,0.13721508003072813
2,single_j_a1,standard,a1,-1.8125,-4.9375,0.0,0.0,0.13625463796779513
2,single_i_a0,a0,standard,3.625,0.5,0.0,0.0,0.1352313719689846
2,joint_a0_a0,a0,a0,0.5,-2.625,0.0,0.0,0.13907768804347143
2,joint_a0_a1,a0,a1,-2.8125,-5.9375,0.0,0.0,0.13516288000391796
2,single_i_a1,a1,standard,4.125,1.0,0.0,0.0,0.13834962202236056
2,joint_a1_a0,a1,a0,3.5,0.375,0.0,0.0,0.13577142800204456
2,joint_a1_a1,a1,a1,1.375,-1.75,0.0,0.0,0.13833915902068838
3,standard,standard,standard,3.1875,0.0,0.0,0.0,0.13829458196414635
3,single_j_a0,standard,a0,1.5625,-1.625,0.0,0.0,0.1405954429646954
3,single_j_a1,standard,a1,0.8125,-2.375,0.0,0.0,0.13734150998061523
3,single_i_a0,a0,standard,3.9375,0.75,0.0,0.0,0.13911595701938495
3,joint_a0_a0,a0,a0,1.125,-2.0625,0.0,0.0,0.13920280599268153
3,joint_a0_a1,a0,a1,4.0625,0.875,0.0,0.0,0.13889592996565625
3,single_i_a1,a1,standard,4.625,1.4375,0.0,0.0,0.14068893395597115
3,joint_a1_a0,a1,a0,-1.125,-4.3125,0.0,0.0,0.13846984499832615
3,joint_a1_a1,a1,a1,1.5,-1.6875,0.0,0.0,0.13937019801232964
4,standard,standard,standard,1.5,0.0,0.0,0.0,0.14929778297664598
4,single_j_a0,standard,a0,-0.4375,-1.9375,0.0,0.0,0.14751335000619292
4,single_j_a1,standard,a1,-2.0625,-3.5625,0.0,0.0,0.15054825803963467
4,single_i_a0,a0,standard,3.3125,1.8125,0.0,0.0,0.14836863800883293
4,joint_a0_a0,a0,a0,4.0625,2.5625,0.0,0.0,0.14869494503363967
4,joint_a0_a1,a0,a1,1.4375,-0.0625,0.0,0.0,0.14944437297526747
4,single_i_a1,a1,standard,3.6875,2.1875,0.0,0.0,0.14901292900322005
4,joint_a1_a0,a1,a0,2.5625,1.0625,0.0,0.0,0.14806682796915993
4,joint_a1_a1,a1,a1,0.125,-1.375,0.0,0.0,0.1493466569809243
5,standard,standard,standard,-1.4375,0.0,0.0,0.0,0.14875673997448757
5,single_j_a0,standard,a0,-1.5625,-0.125,0.0,0.0,0.15085264400113374
5,single_j_a1,standard,a1,-1.4375,0.0,0.0,0.0,0.14657153002917767
5,single_i_a0,a0,standard,-0.375,1.0625,0.0,0.0,0.14704816101584584
5,joint_a0_a0,a0,a0,-0.75,0.6875,0.0,0.0,0.14998484100215137
5,joint_a0_a1,a0,a1,-0.5,0.9375,0.0,0.0,0.14822559599997476
5,single_i_a1,a1,standard,-0.625,0.8125,0.0,0.0,0.1466695890412666
5,joint_a1_a0,a1,a0,-0.875,0.5625,0.0,0.0,0.14947083499282598
5,joint_a1_a1,a1,a1,-0.75,0.6875,0.0,0.0,0.1476087989867665
6,standard,standard,standard,0.375,0.0,0.0,0.0,0.15993069496471435
6,single_j_a0,standard,a0,-0.25,-0.625,0.0,0.0,0.16304839396616444
6,single_j_a1,standard,a1,-0.4375,-0.8125,0.0,0.0,0.1624140480416827
6,single_i_a0,a0,standard,-0.25,-0.625,0.0,0.0,0.16137815499678254
6,joint_a0_a0,a0,a0,-0.5625,-0.9375,0.0,0.0,0.1633415330434218
6,joint_a0_a1,a0,a1,0.375,0.0,0.0,0.0,0.16264717804733664
6,single_i_a1,a1,standard,0.0,-0.375,0.0,0.0,0.16035114403348416
6,joint_a1_a0,a1,a0,0.25,-0.125,0.0,0.0,0.15915606101043522
6,joint_a1_a1,a1,a1,0.5625,0.1875,0.0,0.0,0.16358210204634815
7,standard,standard,standard,3.5625,0.0,0.0,0.0,0.13764101796550676
7,single_j_a0,standard,a0,5.3125,1.75,0.0,0.0,0.13797498494386673
7,single_j_a1,standard,a1,5.3125,1.75,0.0,0.0,0.1402050819597207
7,single_i_a0,a0,standard,3.0,-0.5625,0.0,0.0,0.1372973449761048
7,joint_a0_a0,a0,a0,4.8125,1.25,0.0,0.0,0.13904642302077264
7,joint_a0_a1,a0,a1,4.375,0.8125,0.0,0.0,0.14067997899837792
7,single_i_a1,a1,standard,2.9375,-0.625,0.0,0.0,0.13736486696870998
