model_id,pack,condition,template_mode,structured,items,pairs,schema_valid_rate,truncation_rate,item_accuracy,pair_accuracy,pair_ci95_low,pair_ci95_high,full_trace_accuracy,inactive_operator_rate
ai2_olmo,A,C,native,False,24,12,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0
ai2_olmo,A,C,plain,True,24,12,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
ai2_olmo,A,D,native,False,24,12,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
ai2_olmo,A,D,plain,True,24,12,1.0,0.0,0.5,0.08333333333333333,0.0,0.25,0.0,1.0
google_gemma,A,C,native,False,24,12,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
google_gemma,A,C,plain,True,24,12,1.0,0.0,0.9166666666666666,0.8333333333333334,0.5833333333333334,1.0,0.0,0.0
google_gemma,A,D,native,False,24,12,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
google_gemma,A,D,plain,True,24,12,1.0,0.0,0.7083333333333334,0.5833333333333334,0.3333333333333333,0.8333333333333334,0.0,0.7083333333333334
ibm_granite,A,C,native,False,24,12,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0
ibm_granite,A,C,plain,True,24,12,1.0,0.0,0.4583333333333333,0.25,0.0,0.5,0.0,0.0
ibm_granite,A,D,native,False,24,12,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0
ibm_granite,A,D,plain,True,24,12,1.0,0.0,0.625,0.4166666666666667,0.16666666666666666,0.6666666666666666,0.0,0.5416666666666666
meta_llama,A,C,native,False,24,12,0.8333333333333334,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.0,0.4166666666666667,0.0,0.0
meta_llama,A,C,plain,True,24,12,1.0,0.0,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.0,0.0
meta_llama,A,D,native,False,24,12,0.9166666666666666,0.08333333333333333,0.625,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.0,0.16666666666666666
meta_llama,A,D,plain,True,24,12,1.0,0.0,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.0,0.5416666666666666
microsoft_phi,A,C,native,False,24,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
microsoft_phi,A,C,plain,True,24,12,1.0,0.0,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.041666666666666664,0.0
microsoft_phi,A,D,native,False,24,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
microsoft_phi,A,D,plain,True,24,12,1.0,0.0,0.75,0.5,0.25,0.75,0.0,0.6666666666666666
mistral,A,C,native,False,24,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral,A,C,plain,True,24,12,1.0,0.0,0.6666666666666666,0.5,0.25,0.75,0.0,0.0
mistral,A,D,native,False,24,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral,A,D,plain,True,24,12,1.0,0.0,0.6666666666666666,0.4166666666666667,0.16666666666666666,0.6666666666666666,0.0,0.7083333333333334
qwen_positive_control,A,C,native,False,24,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_positive_control,A,C,plain,True,24,12,1.0,0.0,0.75,0.5,0.25,0.75,0.0,0.0
qwen_positive_control,A,D,native,False,24,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen_positive_control,A,D,plain,True,24,12,1.0,0.0,0.625,0.4166666666666667,0.16666666666666666,0.6666666666666666,0.0,0.125
