model_id,kind,pairs,original_accuracy,modified_accuracy,modified_minus_original,rescued,damaged
ai2_olmo,correction,108,0.5277777777777778,0.5,-0.027777777777777776,4,7
google_gemma,correction,11,0.6363636363636364,1.0,0.36363636363636365,4,0
google_gemma,injection,11,1.0,0.6363636363636364,-0.36363636363636365,0,4
ibm_granite,correction,39,0.41025641025641024,0.6666666666666666,0.2564102564102564,13,3
ibm_granite,injection,39,0.717948717948718,0.6923076923076923,-0.02564102564102564,5,6
meta_llama,correction,37,0.5945945945945946,0.8648648648648649,0.2702702702702703,14,4
meta_llama,injection,37,0.8108108108108109,0.5675675675675675,-0.24324324324324326,4,13
microsoft_phi,correction,24,0.5833333333333334,0.875,0.2916666666666667,8,1
microsoft_phi,injection,24,0.75,0.7083333333333334,-0.041666666666666664,3,4
mistral,correction,85,0.49411764705882355,0.611764705882353,0.11764705882352941,16,6
mistral,injection,19,0.6842105263157895,0.42105263157894735,-0.2631578947368421,0,5
qwen_positive_control,correction,6,0.6666666666666666,1.0,0.3333333333333333,2,0
qwen_positive_control,injection,6,1.0,0.5,-0.5,0,3
