model_id,pack,contrast,pairs,left_accuracy,right_accuracy,difference,ci90_low,ci90_high,ci95_low,ci95_high,left_only_correct,right_only_correct,pvalue,pvalue_holm
ai2_olmo,A,D-C,54,0.07407407407407407,0.037037037037037035,0.037037037037037035,-0.037037037037037035,0.1111111111111111,-0.05555555555555555,0.12962962962962962,4.0,2.0,0.6875,0.6875
ai2_olmo,A,interaction,54,,,0.05555555555555555,-0.018518518518518517,0.12962962962962962,-0.037037037037037035,0.14814814814814814,,,0.25683925795785656,0.5136785159157131
ai2_olmo,A,E-C,54,0.12962962962962962,0.037037037037037035,0.09259259259259259,0.037037037037037035,0.16666666666666666,0.018518518518518517,0.16666666666666666,5.0,0.0,0.0625,0.1875
ai2_olmo,B,D-C,54,0.18518518518518517,0.12962962962962962,0.05555555555555555,-0.05555555555555555,0.16666666666666666,-0.07407407407407407,0.18518518518518517,8.0,5.0,0.5810546875,
google_gemma,A,D-C,54,0.6296296296296297,0.8148148148148148,-0.18518518518518517,-0.2962962962962963,-0.07407407407407407,-0.3148148148148148,-0.05555555555555555,2.0,12.0,0.012939453125,0.038818359375
google_gemma,A,interaction,54,,,-0.18518518518518517,-0.35185185185185186,-0.018518518518518517,-0.3888888888888889,0.0,,,0.06337852903654981,0.12675705807309962
google_gemma,A,E-C,54,0.7962962962962963,0.8148148148148148,-0.018518518518518517,-0.09259259259259259,0.05555555555555555,-0.1111111111111111,0.07407407407407407,3.0,4.0,1.0,1.0
google_gemma,B,D-C,54,0.5185185185185185,0.5740740740740741,-0.05555555555555555,-0.18518518518518517,0.07407407407407407,-0.2037037037037037,0.09259259259259259,7.0,10.0,0.629058837890625,
ibm_granite,A,D-C,54,0.3148148148148148,0.2962962962962963,0.018518518518518517,-0.12962962962962962,0.16666666666666666,-0.14814814814814814,0.18518518518518517,12.0,11.0,1.0,1.0
ibm_granite,A,interaction,54,,,-0.05555555555555555,-0.25925925925925924,0.12962962962962962,-0.2962962962962963,0.16666666666666666,,,0.5971535977607408,1.0
ibm_granite,A,E-C,54,0.3148148148148148,0.2962962962962963,0.018518518518518517,-0.07407407407407407,0.1111111111111111,-0.09259259259259259,0.12962962962962962,5.0,4.0,1.0,1.0
ibm_granite,B,D-C,54,0.25925925925925924,0.3333333333333333,-0.07407407407407407,-0.18518518518518517,0.037037037037037035,-0.2037037037037037,0.05555555555555555,4.0,8.0,0.3876953125,
meta_llama,A,D-C,54,0.2777777777777778,0.3333333333333333,-0.05555555555555555,-0.18518518518518517,0.07407407407407407,-0.2037037037037037,0.09259259259259259,7.0,10.0,0.629058837890625,1.0
meta_llama,A,interaction,54,,,0.05555555555555555,-0.1111111111111111,0.2222222222222222,-0.14814814814814814,0.25925925925925924,,,0.5610531948313406,1.0
meta_llama,A,E-C,54,0.3333333333333333,0.3333333333333333,0.0,-0.09259259259259259,0.09259259259259259,-0.09259259259259259,0.09259259259259259,4.0,4.0,1.0,1.0
meta_llama,B,D-C,54,0.2037037037037037,0.2962962962962963,-0.09259259259259259,-0.2222222222222222,0.037037037037037035,-0.24074074074074073,0.05555555555555555,6.0,11.0,0.332305908203125,
microsoft_phi,A,D-C,54,0.46296296296296297,0.4444444444444444,0.018518518518518517,-0.09259259259259259,0.12962962962962962,-0.1111111111111111,0.14814814814814814,7.0,6.0,1.0,1.0
microsoft_phi,A,interaction,54,,,-0.037037037037037035,-0.16666666666666666,0.09259259259259259,-0.2037037037037037,0.12962962962962962,,,0.6547208460185769,1.0
microsoft_phi,A,E-C,54,0.42592592592592593,0.4444444444444444,-0.018518518518518517,-0.09259259259259259,0.05555555555555555,-0.1111111111111111,0.07407407407407407,3.0,4.0,1.0,1.0
microsoft_phi,B,D-C,54,0.5555555555555556,0.6111111111111112,-0.05555555555555555,-0.18518518518518517,0.07407407407407407,-0.2037037037037037,0.09259259259259259,7.0,10.0,0.629058837890625,
mistral,A,D-C,54,0.24074074074074073,0.2962962962962963,-0.05555555555555555,-0.18518518518518517,0.07407407407407407,-0.2037037037037037,0.09259259259259259,7.0,10.0,0.629058837890625,1.0
mistral,A,interaction,54,,,-0.1111111111111111,-0.24074074074074073,0.018518518518518517,-0.25925925925925924,0.037037037037037035,,,0.15729920705028502,0.4718976211508551
mistral,A,E-C,54,0.3148148148148148,0.2962962962962963,0.018518518518518517,-0.05555555555555555,0.09259259259259259,-0.07407407407407407,0.1111111111111111,4.0,3.0,1.0,1.0
mistral,B,D-C,54,0.3148148148148148,0.3888888888888889,-0.07407407407407407,-0.18518518518518517,0.037037037037037035,-0.2037037037037037,0.05555555555555555,5.0,9.0,0.4239501953125,
qwen_positive_control,A,D-C,54,0.4444444444444444,0.3888888888888889,0.05555555555555555,-0.018518518518518517,0.12962962962962962,-0.037037037037037035,0.14814814814814814,5.0,2.0,0.453125,0.75
qwen_positive_control,A,interaction,54,,,-0.1111111111111111,-0.24074074074074073,0.018518518518518517,-0.2777777777777778,0.05555555555555555,,,0.17971249487899976,0.5391374846369993
qwen_positive_control,A,E-C,54,0.3333333333333333,0.3888888888888889,-0.05555555555555555,-0.12962962962962962,0.0,-0.12962962962962962,0.018518518518518517,1.0,4.0,0.375,0.75
qwen_positive_control,B,D-C,54,0.37037037037037035,0.37037037037037035,0.0,-0.09259259259259259,0.09259259259259259,-0.1111111111111111,0.1111111111111111,4.0,4.0,1.0,
