model_id,pack,condition,template_mode,structured,items,pairs,schema_valid_rate,truncation_rate,item_accuracy,pair_accuracy,pair_ci95_low,pair_ci95_high,full_trace_accuracy,inactive_operator_rate
ai2_olmo,A,A,native,True,108,54,1.0,0.0,0.5277777777777778,0.09259259259259259,0.018518518518518517,0.18518518518518517,0.0,0.0
ai2_olmo,A,B,native,True,108,54,1.0,0.0,0.4722222222222222,0.07407407407407407,0.018518518518518517,0.14814814814814814,0.0,1.0
ai2_olmo,A,C,native,True,108,54,1.0,0.0,0.49074074074074076,0.037037037037037035,0.0,0.09259259259259259,0.0,0.0
ai2_olmo,A,D,native,True,108,54,1.0,0.0,0.5185185185185185,0.07407407407407407,0.018518518518518517,0.14814814814814814,0.0,1.0
ai2_olmo,A,E,native,True,108,54,1.0,0.0,0.5185185185185185,0.12962962962962962,0.05555555555555555,0.2222222222222222,0.0,0.0
ai2_olmo,B,C,native,True,108,54,1.0,0.0,0.5370370370370371,0.12962962962962962,0.05555555555555555,0.2222222222222222,0.0,0.0
ai2_olmo,B,D,native,True,108,54,1.0,0.0,0.5092592592592593,0.18518518518518517,0.09259259259259259,0.2962962962962963,0.0,0.9537037037037037
google_gemma,A,A,native,True,108,54,1.0,0.0,0.8611111111111112,0.7592592592592593,0.6481481481481481,0.8703703703703703,0.08333333333333333,0.0
google_gemma,A,B,native,True,108,54,1.0,0.0,0.8703703703703703,0.7592592592592593,0.6481481481481481,0.8703703703703703,0.037037037037037035,0.009259259259259259
google_gemma,A,C,native,True,108,54,1.0,0.0,0.8981481481481481,0.8148148148148148,0.7037037037037037,0.9074074074074074,0.07407407407407407,0.0
google_gemma,A,D,native,True,108,54,1.0,0.0,0.7777777777777778,0.6296296296296297,0.5,0.7592592592592593,0.027777777777777776,0.10185185185185185
google_gemma,A,E,native,True,108,54,1.0,0.0,0.8888888888888888,0.7962962962962963,0.6851851851851852,0.8888888888888888,0.05555555555555555,0.009259259259259259
google_gemma,B,C,native,True,108,54,1.0,0.0,0.7592592592592593,0.5740740740740741,0.4444444444444444,0.7037037037037037,0.037037037037037035,0.0
google_gemma,B,D,native,True,108,54,1.0,0.0,0.7314814814814815,0.5185185185185185,0.3888888888888889,0.6481481481481481,0.05555555555555555,0.046296296296296294
ibm_granite,A,A,native,True,108,54,1.0,0.0,0.5277777777777778,0.2037037037037037,0.09259259259259259,0.3148148148148148,0.0,0.0
ibm_granite,A,B,native,True,108,54,1.0,0.0,0.5370370370370371,0.2777777777777778,0.16666666666666666,0.4074074074074074,0.0,0.027777777777777776
ibm_granite,A,C,native,True,108,54,1.0,0.0,0.5740740740740741,0.2962962962962963,0.18518518518518517,0.42592592592592593,0.0,0.0
ibm_granite,A,D,native,True,108,54,1.0,0.0,0.5648148148148148,0.3148148148148148,0.2037037037037037,0.4444444444444444,0.0,0.3611111111111111
ibm_granite,A,E,native,True,108,54,1.0,0.0,0.5555555555555556,0.3148148148148148,0.18518518518518517,0.4444444444444444,0.0,0.0
ibm_granite,B,C,native,True,108,54,1.0,0.0,0.5740740740740741,0.3333333333333333,0.2037037037037037,0.46296296296296297,0.0,0.0
ibm_granite,B,D,native,True,108,54,1.0,0.0,0.5370370370370371,0.25925925925925924,0.14814814814814814,0.37037037037037035,0.0,0.018518518518518517
meta_llama,A,A,native,True,108,54,1.0,0.0,0.5648148148148148,0.24074074074074073,0.12962962962962962,0.35185185185185186,0.0,0.0
meta_llama,A,B,native,True,108,54,1.0,0.0,0.5092592592592593,0.12962962962962962,0.05555555555555555,0.2222222222222222,0.0,0.018518518518518517
meta_llama,A,C,native,True,108,54,1.0,0.0,0.6111111111111112,0.3333333333333333,0.2222222222222222,0.46296296296296297,0.0,0.0
meta_llama,A,D,native,True,108,54,1.0,0.0,0.6018518518518519,0.2777777777777778,0.16666666666666666,0.4074074074074074,0.0,0.3425925925925926
meta_llama,A,E,native,True,108,54,1.0,0.0,0.6018518518518519,0.3333333333333333,0.2037037037037037,0.46296296296296297,0.0,0.0
meta_llama,B,C,native,True,108,54,1.0,0.0,0.5925925925925926,0.2962962962962963,0.18518518518518517,0.42592592592592593,0.0,0.0
meta_llama,B,D,native,True,108,54,1.0,0.0,0.5555555555555556,0.2037037037037037,0.1111111111111111,0.3148148148148148,0.0,0.25925925925925924
microsoft_phi,A,A,native,True,108,54,1.0,0.0,0.6666666666666666,0.46296296296296297,0.3333333333333333,0.5925925925925926,0.037037037037037035,0.0
microsoft_phi,A,B,native,True,108,54,1.0,0.0,0.7129629629629629,0.5185185185185185,0.3888888888888889,0.6481481481481481,0.046296296296296294,0.009259259259259259
microsoft_phi,A,C,native,True,108,54,1.0,0.0,0.6388888888888888,0.4444444444444444,0.3148148148148148,0.5740740740740741,0.05555555555555555,0.0
microsoft_phi,A,D,native,True,108,54,1.0,0.0,0.6944444444444444,0.46296296296296297,0.3333333333333333,0.5925925925925926,0.027777777777777776,0.2222222222222222
microsoft_phi,A,E,native,True,108,54,1.0,0.0,0.6666666666666666,0.42592592592592593,0.2962962962962963,0.5555555555555556,0.027777777777777776,0.0
microsoft_phi,B,C,native,True,108,54,1.0,0.0,0.7777777777777778,0.6111111111111112,0.48148148148148145,0.7407407407407407,0.037037037037037035,0.0
microsoft_phi,B,D,native,True,108,54,1.0,0.0,0.7129629629629629,0.5555555555555556,0.42592592592592593,0.6851851851851852,0.046296296296296294,0.018518518518518517
mistral,A,A,native,True,108,54,1.0,0.0,0.5462962962962963,0.2962962962962963,0.18518518518518517,0.42592592592592593,0.0,0.0
mistral,A,B,native,True,108,54,1.0,0.0,0.6111111111111112,0.35185185185185186,0.2222222222222222,0.48148148148148145,0.0,0.09259259259259259
mistral,A,C,native,True,108,54,1.0,0.0,0.5555555555555556,0.2962962962962963,0.18518518518518517,0.42592592592592593,0.0,0.009259259259259259
mistral,A,D,native,True,108,54,1.0,0.0,0.5555555555555556,0.24074074074074073,0.12962962962962962,0.35185185185185186,0.0,0.7870370370370371
mistral,A,E,native,True,108,54,1.0,0.0,0.5833333333333334,0.3148148148148148,0.2037037037037037,0.4444444444444444,0.0,0.0
mistral,B,C,native,True,108,54,1.0,0.0,0.6296296296296297,0.3888888888888889,0.25925925925925924,0.5185185185185185,0.0,0.0
mistral,B,D,native,True,108,54,1.0,0.0,0.6111111111111112,0.3148148148148148,0.2037037037037037,0.4444444444444444,0.0,0.046296296296296294
qwen_positive_control,A,A,native,True,108,54,1.0,0.0,0.5092592592592593,0.2037037037037037,0.1111111111111111,0.3148148148148148,0.037037037037037035,0.0
qwen_positive_control,A,B,native,True,108,54,1.0,0.0,0.6018518518518519,0.37037037037037035,0.24074074074074073,0.5,0.046296296296296294,0.009259259259259259
